key,_id,GPS.latitude,GPS.longitude,city,name,type,address,department
1,61b0ca15f6a0af5003000133,-8.7334983,121.7508912,Wolofeo,Banner - University Medical Center Phoenix,hospital,6732 Luster Street,8
2,61b0ca15f6a0af5003000134,-21.2370782,-45.7592067,Campos Gerais,L V Stabler Memorial Hospital,hospital,0 Armistice Crossing,10
3,61b0ca15f6a0af5003000135,14.6933122,121.0806979,Batobato,Mobile Infirmary Medical Center,hospital,39 Loftsgordon Court,7
4,61b0ca15f6a0af5003000136,59.3514599,17.9843165,Solna,COVID CENTER 36,specialized center,3292 Talmadge Way,
5,61b0ca15f6a0af5003000137,-7.4220343,106.7529514,Tegalbuleud,COVID CENTER 8,specialized center,55543 Northfield Parkway,
6,61b0ca15f6a0af5003000138,-7.71725,108.07666,Leuwipicung,Medical West,hospital,42384 Novick Terrace,2
7,61b0ca15f6a0af5003000139,59.3405742,18.0667759,Stockholm,Manapharma Pharmacy,pharmacy,531 Montana Road,
8,61b0ca15f6a0af500300013a,40.2715286,44.633383,Abovyan,COVID CENTER 24,specialized center,457 Merrick Court,
9,61b0ca15f6a0af500300013b,23.841237,110.47479,Xinwu,Crestwood Medical Center,hospital,282 Milwaukee Court,1
10,61b0ca15f6a0af500300013c,-9.6701,119.0511,Panenggoede,COVID CENTER 44,specialized center,3 Tomscot Terrace,
11,61b0ca15f6a0af500300013d,-27.5571934,-53.9759139,Humaitá,East Alabama Medical Center,hospital,858 Susan Junction,4
12,61b0ca15f6a0af500300013e,10.9570221,-63.8699655,Porlamar,National University Hospital (s) Pte Ltd (Pharmacy @ NCIS),pharmacy,5 Claremont Circle,
13,61b0ca15f6a0af500300013f,38.033281,22.1103462,Kalávryta,Marshall Medical Center South,hospital,40060 Del Mar Park,3
14,61b0ca15f6a0af5003000140,44.3337107,40.7679998,Perepravnaya,COVID CENTER 16,specialized center,6 Delaware Circle,
15,61b0ca15f6a0af5003000141,23.70475,114.849821,Baipu,Norton Sound Regional Hospital,hospital,6 Veith Place,9
16,61b0ca15f6a0af5003000142,13.6991663,123.5183334,Kinalansan,Huntsville Hospital,hospital,57034 Canary Avenue,5
17,61b0ca15f6a0af5003000143,1.259619,101.213097,Duri,WESTMEAD PHARMACY PTE LTD,pharmacy,032 Farwell Junction,
18,61b0ca15f6a0af5003000144,-7.3071,107.1272,Ankola,WATSON'S PERSONAL CARE STORES PTE LTD (WATERWAY POINT),pharmacy,425 Buena Vista Crossing,
19,61b0ca15f6a0af5003000145,-6.7455152,111.2293563,Kuniran,Nishino Pharmacy (Shaw House),pharmacy,05834 Westridge Way,
20,61b0ca15f6a0af5003000146,-6.820816,108.1992015,Jatipamor,COVID CENTER 44,specialized center,66596 Karstens Trail,
21,61b0ca15f6a0af5003000147,45.1216628,19.0173647,Nijemci,COVID CENTER 14,specialized center,277 Ruskin Way,
22,61b0ca15f6a0af5003000148,36.10306,127.48889,Kinzan,Citizens Baptist Medical Center,hospital,0675 Roxbury Trail,4
23,61b0ca15f6a0af5003000149,13.674033,108.9502232,Vân Canh,Children's Hospital Of Alabama,hospital,36387 Pearson Point,8
24,61b0ca15f6a0af500300014a,49.8905368,2.3081396,Amiens,Jurong Medical Centre Pharmacy,pharmacy,09 Oak Valley Circle,
25,61b0ca15f6a0af500300014b,41.1213095,69.0612582,Yangiyŭl,WESTMEAD PHARMACY PTE LTD,pharmacy,08 Iowa Point,
26,61b0ca15f6a0af500300014c,10.21972,169.97967,Ailuk,TAN TOCK SENG HOSPITAL PTE LTD (EMERGENCY PHARMACY),pharmacy,422 Sutteridge Alley,
27,61b0ca15f6a0af500300014d,23.505032,110.454177,Qingshuitang,Marion Regional Medical Center,hospital,27322 Blackbird Drive,7
28,61b0ca15f6a0af500300014e,47.5688259,-52.7079539,Sainte-Martine,St Vincent's East,hospital,71 Dennis Trail,3
29,61b0ca15f6a0af500300014f,29.202542,121.931606,Shipu,Khoo Teck Puat Hospital Pharmacy,pharmacy,6034 East Street,
30,61b0ca15f6a0af5003000150,8.972681,125.408732,Buenavista,MEDI-LINK PHARMACY,pharmacy,67152 David Parkway,
31,61b0ca15f6a0af5003000151,23.3362272,112.7222244,Taotang,Vivahealth Pharmacy,pharmacy,12990 Portage Crossing,
32,61b0ca15f6a0af5003000152,-15.3122723,-49.1166441,Goianésia,Pacific Pharmacy Pte Ltd,pharmacy,25 Briar Crest Lane,
33,61b0ca15f6a0af5003000153,-13.5321991,-73.6760258,Uripa,COVID CENTER 58,specialized center,4 Johnson Terrace,
34,61b0ca15f6a0af4fff000131,5.8719379,-56.3320773,Totness,Chandler Regional Medical Center,hospital,236 Reinke Drive,10
35,61b0ca15f6a0af4fff000132,-30.0758479,-51.1787781,Porto Alegre,Alaska Native Medical Center,hospital,967 Fuller Center,2
36,61b0ca15f6a0af4fff000133,-33.5295223,-58.216956,Soriano,Lawrence Medical Center,hospital,31142 Johnson Court,5
37,61b0ca15f6a0af4fff000134,50.5374117,36.6913146,Razumnoye,Medical Center Enterprise,hospital,73338 Knutson Terrace,9
38,61b0ca15f6a0af4fff000135,39.1217895,66.8856247,Kitob,NATIONAL CANCER CENTRE PHARMACY (LEVEL 3),pharmacy,868 Myrtle Hill,
39,61b0ca15f6a0af4fff000136,-0.7069135,31.5370003,Rakai,Nishino Pharmacy (Takashimaya),pharmacy,1804 Harbort Center,
