lot,production_date
1,2021-01-01
2,2021-01-01
3,2021-01-03
4,2021-01-04
5,2021-01-05
6,2021-01-06
7,2021-01-07
8,2021-01-08
9,2021-01-08
10,2021-01-09
11,2021-01-10
12,2021-01-12
13,2021-01-12
14,2021-01-13
15,2021-01-14
16,2021-01-16
17,2021-01-16
18,2021-01-18
19,2021-01-19
20,2021-01-19
21,2021-01-21
22,2021-01-22
23,2021-01-22
24,2021-01-23
25,2021-01-25
26,2021-01-25
27,2021-01-27
28,2021-01-28
29,2021-01-28
30,2021-01-30
31,2021-01-30
32,2021-01-31
33,2021-02-01
34,2021-02-02
35,2021-02-04
36,2021-02-04
37,2021-02-06
38,2021-02-06
39,2021-02-08
40,2021-02-09
41,2021-02-09
42,2021-02-11
43,2021-02-11
44,2021-02-13
45,2021-02-13
46,2021-02-15
47,2021-02-16
48,2021-02-17
49,2021-02-18
50,2021-02-18
51,2021-02-20
52,2021-02-21
53,2021-02-22
54,2021-02-22
55,2021-02-24
56,2021-02-25
57,2021-02-26
58,2021-02-26
59,2021-02-27
60,2021-03-01
61,2021-03-01
62,2021-03-02
63,2021-03-03
64,2021-03-05
65,2021-03-05
66,2021-03-07
67,2021-03-08
68,2021-03-09
69,2021-03-09
70,2021-03-11
71,2021-03-12
72,2021-03-12
73,2021-03-13
74,2021-03-15
75,2021-03-15
76,2021-03-16
77,2021-03-17
78,2021-03-18
79,2021-03-19
80,2021-03-21
81,2021-03-22
82,2021-03-23
83,2021-03-24
84,2021-03-25
85,2021-03-25
86,2021-03-27
87,2021-03-28
88,2021-03-29
89,2021-03-30
90,2021-03-30
91,2021-03-31
92,2021-04-02
93,2021-04-03
94,2021-04-03
95,2021-04-04
96,2021-04-05
97,2021-04-07
98,2021-04-07
99,2021-04-08
100,2021-04-09
101,2021-04-11
102,2021-04-11
103,2021-04-13
104,2021-04-14
105,2021-04-15
106,2021-04-16
107,2021-04-17
108,2021-04-18
109,2021-04-18
110,2021-04-20
111,2021-04-21
112,2021-04-22
113,2021-04-23
114,2021-04-23
115,2021-04-24
116,2021-04-26
117,2021-04-27
118,2021-04-27
119,2021-04-28
120,2021-04-29
121,2021-04-30
122,2021-05-02
123,2021-05-02
124,2021-05-04
125,2021-05-05
126,2021-05-06
127,2021-05-07
128,2021-05-07
129,2021-05-09
130,2021-05-10
131,2021-05-11
132,2021-05-12
133,2021-05-13
134,2021-05-13
135,2021-05-15
136,2021-05-15
137,2021-05-16
138,2021-05-18
139,2021-05-18
140,2021-05-19
141,2021-05-20
142,2021-05-22
143,2021-05-22
144,2021-05-23
145,2021-05-24
146,2021-05-26
147,2021-05-27
148,2021-05-28
149,2021-05-28
150,2021-05-29
151,2021-05-31
152,2021-05-31
153,2021-06-01
154,2021-06-03
155,2021-06-04
156,2021-06-04
157,2021-06-06
158,2021-06-07
159,2021-06-08
160,2021-06-08
161,2021-06-09
162,2021-06-10
163,2021-06-12
164,2021-06-12
165,2021-06-13
166,2021-06-15
167,2021-06-16
168,2021-06-17
169,2021-06-18
170,2021-06-19
171,2021-06-19
172,2021-06-21
173,2021-06-21
174,2021-06-23
175,2021-06-24
176,2021-06-25
177,2021-06-25
178,2021-06-27
179,2021-06-27
180,2021-06-29
181,2021-06-30
182,2021-07-01
183,2021-07-02
184,2021-07-03
185,2021-07-04
186,2021-07-05
187,2021-07-06
188,2021-07-07
189,2021-07-08
190,2021-07-09
191,2021-07-10
192,2021-07-11
193,2021-07-12
194,2021-07-12
195,2021-07-14
196,2021-07-15
197,2021-07-16
198,2021-07-17
199,2021-07-17
200,2021-07-18
201,2021-07-19
202,2021-07-20
203,2021-07-22
204,2021-07-22
205,2021-07-24
206,2021-07-24
207,2021-07-26
208,2021-07-26
209,2021-07-27
210,2021-07-29
211,2021-07-30
212,2021-07-31
213,2021-07-31
214,2021-08-02
215,2021-08-03
216,2021-08-04
217,2021-08-04
218,2021-08-06
219,2021-08-07
220,2021-08-07
221,2021-08-08
222,2021-08-10
223,2021-08-10
224,2021-08-12
225,2021-08-12
226,2021-08-14
227,2021-08-15
228,2021-08-16
229,2021-08-16
230,2021-08-18
231,2021-08-18
232,2021-08-20
233,2021-08-21
234,2021-08-21
235,2021-08-23
236,2021-08-24
237,2021-08-24
238,2021-08-25
239,2021-08-26
240,2021-08-28
241,2021-08-28
242,2021-08-29
243,2021-08-30
244,2021-09-01
245,2021-09-02
246,2021-09-02
247,2021-09-03
248,2021-09-04
249,2021-09-05
250,2021-09-07
251,2021-09-07
252,2021-09-09
253,2021-09-10
254,2021-09-10
255,2021-09-11
256,2021-09-13
257,2021-09-13
258,2021-09-15
259,2021-09-15
260,2021-09-16
261,2021-09-17
262,2021-09-19
263,2021-09-19
264,2021-09-20
265,2021-09-22
266,2021-09-22
267,2021-09-24
268,2021-09-25
269,2021-09-26
270,2021-09-26
271,2021-09-28
272,2021-09-29
273,2021-09-29
274,2021-10-01
275,2021-10-02
276,2021-10-02
277,2021-10-03
278,2021-10-05
279,2021-10-05
280,2021-10-06
281,2021-10-08
282,2021-10-08
283,2021-10-10
284,2021-10-11
285,2021-10-11
286,2021-10-13
287,2021-10-14
288,2021-10-14
289,2021-10-15
290,2021-10-16
291,2021-10-17
292,2021-10-19
293,2021-10-20
294,2021-10-21
295,2021-10-21
296,2021-10-22
297,2021-10-23
298,2021-10-25
299,2021-10-26
300,2021-10-26
301,2021-10-27
302,2021-10-28
303,2021-10-29
304,2021-10-31
305,2021-11-01
306,2021-11-02
307,2021-11-02
308,2021-11-03
309,2021-11-05
310,2021-11-06
311,2021-11-07
312,2021-11-07
313,2021-11-09
314,2021-11-09
315,2021-11-10
316,2021-11-12
317,2021-11-12
318,2021-11-13
319,2021-11-15
320,2021-11-16
321,2021-11-17
322,2021-11-18
323,2021-11-18
324,2021-11-19
325,2021-11-20
326,2021-11-21
327,2021-11-23
328,2021-11-24
329,2021-11-25
330,2021-11-25
